"","health","cb_num","N"
"594","Planting Space",106,69
"595","Good",107,5189
"596","Unknown",108,501
"597","Unknown",105,309
"598","Planting Space",108,153
"599","Shaft",105,2
"600","Poor",104,481
"601","Planting Space",104,134
"602","Dead",104,230
"603","Good",112,6944
"604","Dead",112,458
"605","Poor",112,1221
"606","Planting Space",112,232
"607","Stump",112,174
"608","Unknown",112,851
"609","Excellent",107,2654
"610","Poor",107,1000
"611","Planting Space",107,261
"612","Stump",107,65
"613","Dead",107,380
"614","Excellent",111,2251
"615","Good",111,6154
"616","Poor",111,748
"617","Unknown",107,163
"618","Shaft",107,10
"619","Shaft",104,3
"620","Stump",104,35
"621","Unknown",104,346
"622","Excellent",109,2040
"623","Dead",109,264
"624","Poor",109,644
"625","Stump",109,98
"626","Planting Space",109,158
"627","Unknown",109,202
"628","Dead",110,332
"629","Good",110,4335
"630","Excellent",110,4148
"631","Poor",110,691
"632","Shaft",109,3
"633","Planting Space",110,299
"634","Dead",111,280
"635","Shaft",112,8
"636","Shaft",106,7
"637","Planting Space",111,295
"638","Stump",111,89
"639","Unknown",111,617
"640","Stump",110,101
"641","Unknown",110,486
"642","Shaft",101,1
"643","Stump",101,8
"644","Shaft",108,1
"645","Shaft",110,2
"646","Shaft",111,3
"647","Shaft",102,1
"648","Fair",101,52
"649","Fair",106,9
"650","Excellent",127,42
"651","Poor",127,11
"652","Dead",127,3
"653","Good",127,109
"654","Unknown",127,2
"655","Fair",110,54
"656","Excellent",128,2
"657","Good",128,3
"658","Fair",104,7
"659","Fair",112,61
"660","Fair",111,12
"661","Excellent",126,6
"662","Good",126,46
"663","Poor",126,6
"664","Fair",105,56
"665","Fair",108,45
"666","Fair",109,29
"667","Dead",126,2
"668","Fair",103,1
"669","Good",203,4037
"670","Poor",203,232
"671","Planting Space",203,310
"672","Unknown",203,33
"673","Dead",203,186
"674","Good",207,2992
"675","Stump",203,77
"676","Poor",207,450
"677","Excellent",207,307
"678","Excellent",212,666
"679","Unknown",207,58
"680","Good",206,3843
"681","Excellent",206,2069
"682","Poor",206,561
"683","Good",212,6740
"684","Dead",207,77
"685","Good",204,1983
"686","Good",208,2218
"687","Planting Space",208,159
"688","Good",202,3447
"689","Good",201,2936
"690","Dead",206,94
"691","Planting Space",206,196
"692","Excellent",215,1886
"693","Planting Space",207,90
"694","Unknown",206,66
"695","Planting Space",201,29
"696","Stump",208,97
"697","Good",217,4326
"698","Stump",207,40
"699","Planting Space",212,164
"700","Poor",212,399
"701","Stump",206,64
"702","Poor",215,1010
"703","Good",215,7778
"704","Good",216,2140
"705","Poor",202,333
"706","Poor",218,1597
"707","Good",218,13584
"708","Good",214,7645
"709","Poor",208,180
"710","Planting Space",204,176
"711","Good",209,2428
"712","Unknown",209,33
"713","Dead",209,30
"714","Poor",209,225
"715","Excellent",209,634
"716","Planting Space",209,135
"717","Poor",217,515
"718","Stump",209,47
"719","Dead",208,80
"720","Planting Space",216,231
"721","Unknown",208,48
"722","Excellent",208,138
"723","Stump",218,92
"724","Stump",202,39
"725","Dead",202,122
"726","Excellent",217,1372
"727","Excellent",201,862
"728","Excellent",216,20
"729","Dead",216,113
"730","Planting Space",214,352
"731","Dead",214,187
"732","Stump",215,115
"733","Planting Space",215,169
"734","Dead",215,265
"735","Unknown",215,164
"736","Good",213,2304
"737","Good",205,4786
"738","Poor",214,670
"739","Unknown",214,91
"740","Poor",216,266
"741","Poor",205,438
"742","Dead",205,248
"743","Unknown",205,123
"744","Stump",205,81
"745","Unknown",218,176
"746","Excellent",205,154
"747","Planting Space",205,240
"748","Excellent",214,1580
"749","Stump",214,270
"750","Stump",216,99
"751","Unknown",216,167
"752","Poor",213,275
"753","Dead",218,369
"754","Excellent",218,203
"755","Planting Space",218,330
"756","Dead",217,277
"757","Stump",217,110
"758","Unknown",213,12
"759","Unknown",217,54
"760","Planting Space",217,205
"761","Dead",212,126
"762","Excellent",202,2094
"763","Good",211,4838
"764","Excellent",203,25
"765","Dead",213,79
"766","Excellent",213,102
"767","Dead",201,209
"768","Poor",201,424
"769","Stump",201,28
"770","Unknown",201,118
"771","Unknown",202,88
"772","Planting Space",202,157
"773","Excellent",204,138
"774","Dead",210,169
"775","Good",210,5007
"776","Unknown",212,243
"777","Poor",210,455
"778","Excellent",210,3098
"779","Planting Space",210,94
"780","Stump",210,80
"781","Unknown",211,169
"782","Dead",211,144
"783","Excellent",211,953
"784","Poor",211,372
"785","Planting Space",213,107
"786","Stump",213,21
"787","Stump",211,54
"788","Unknown",210,68
"789","Poor",204,93
"790","Unknown",204,28
"791","Stump",204,38
"792","Dead",204,58
"793","Planting Space",211,61
"794","Stump",212,144
"795","Good",401,6592
"796","Excellent",401,2741
"797","Poor",401,874
"798","Dead",401,275
"799","Stump",401,134
"800","Unknown",401,180
"801","Planting Space",401,347
"802","Excellent",408,2536
"803","Good",402,4556
"804","Poor",402,491
"805","Excellent",402,779
"806","Unknown",402,101
"807","Planting Space",402,217
"808","Good",403,7419
"809","Excellent",403,1034
"810","Excellent",480,41
"811","Good",408,11432
"812","Stump",402,72
"813","Dead",402,170
"814","Poor",403,950
"815","Unknown",408,400
"816","Poor",406,1079
"817","Excellent",406,1300
"818","Poor",409,1416
"819","Good",405,13866
"820","Good",480,22
"821","Excellent",409,2510
"822","Good",413,25465
"823","Good",411,17040
"824","Good",412,16159
"825","Dead",403,348
"826","Planting Space",403,241
"827","Stump",403,129
"828","Unknown",403,98
"829","Good",409,7746
"830","Poor",484,26
"831","Good",406,5962
"832","Poor",405,1511
"833","Excellent",405,3125
"834","Poor",408,1643
"835","Planting Space",408,316
"836","Stump",406,178
"837","Planting Space",406,392
"838","Dead",406,219
"839","Dead",405,426
"840","Unknown",405,253
"841","Unknown",409,231
"842","Dead",408,412
"843","Stump",405,239
"844","Stump",408,217
"845","Unknown",406,94
"846","Shaft",408,18
"847","Excellent",412,2532
"848","Poor",412,2374
"849","Dead",412,861
"850","Dead",409,301
